Equipamento;Razão Social;Situação;Taxa de Depreciação;Valor do Equipamento;
ARCO CIRÚRGICO;1;Obsoleto;142%;-145753.42;
ARCO CIRÚRGICO;1;Obsoleto;114%;-62383.56;
ARCO CIRÚRGICO;1;Obsoleto;117%;-60698.63;
ARCO CIRÚRGICO;4;Obsoleto;117%;-60698.63;
ARCO CIRÚRGICO;1;Obsoleto;117%;-70367.05;
ARCO CIRÚRGICO;1;Obsoleto;117%;-75058.19;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
RAIO-X MÓVEL;3;Obsoleto;111%;-45479.45;
RAIO-X MÓVEL;3;Não Obsoleto;5%;306965.90;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
RAIO-X ODONTOLÓGICO ANALÓGICO;3;Obsoleto;107%;-1101.37;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
RAIO-X ODONTOLÓGICO ANALÓGICO;3;Não Obsoleto;38%;4362.39;
APARELHO DE ANESTESIA;3;Obsoleto;102%;-4238.36;
APARELHO DE ANESTESIA;3;Obsoleto;103%;-4418.63;
APARELHO DE ANESTESIA;3;Obsoleto;103%;-4418.63;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;1;Obsoleto;117%;-1734.25;
ASPIRADOR ULTRASSÔNICO;1;Obsoleto;117%;-60698.63;
APARELHO DE ANESTESIA;3;Não Obsoleto;70%;25569.86;
ANGIÓGRAFO;2;Obsoleto;141%;-330301.37;
BALANÇA ANALÍTICA;1;Obsoleto;117%;-1487.98;
ANGIÓGRAFO;2;Não Obsoleto;65%;816027.40;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
AQUECEDOR FLUIDOS;2;Não Obsoleto;87%;2333.42;
AQUECEDOR FLUIDOS;2;Não Obsoleto;87%;2333.42;
BOMBA INJETORA DE CONTRASTE;2;Não Obsoleto;77%;28399.95;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
APARELHO DE ANESTESIA;3;Não Obsoleto;70%;25569.86;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
APARELHO DE ANESTESIA;3;Não Obsoleto;59%;96317.81;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;1;Não Obsoleto;75%;373.56;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
BOMBA INJETORA DE CONTRASTE;2;Não Obsoleto;77%;28399.95;
BALANÇA ANTROPOMÉTRICA;1;Obsoleto;117%;-260.14;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
BALANÇA NEONATAL;1;Obsoleto;117%;-312.16;
BALANÇA NEONATAL;1;Obsoleto;117%;-312.16;
BALANÇA NEONATAL;1;Obsoleto;117%;-312.16;
BALANÇA NEONATAL;1;Obsoleto;117%;-312.16;
BALANÇA NEONATAL;1;Obsoleto;117%;-312.16;
BOMBA INJETORA DE CONTRASTE;2;Não Obsoleto;77%;28399.95;
DIGITALIZADOR CR;2;Obsoleto;117%;-26013.70;
BANHO MARIA;1;Obsoleto;117%;-395.23;
BANHO MARIA;1;Obsoleto;117%;-395.23;
BERÇO AQUECIDO;1;Obsoleto;117%;-6069.86;
BERÇO AQUECIDO;1;Obsoleto;117%;-6069.86;
BISTURI ELÉTRICO;1;Obsoleto;117%;-11272.60;
BISTURI ELÉTRICO;6;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;6;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-11272.60;
BISTURI ELÉTRICO;1;Obsoleto;117%;-12139.73;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-12139.73;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-17342.47;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-11272.60;
BISTURI ELÉTRICO;1;Obsoleto;117%;-12139.73;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-5202.74;
BISTURI ELÉTRICO;1;Obsoleto;117%;-12139.73;
BISTURI ELÉTRICO;1;Obsoleto;117%;-6936.99;
BISTURI ELÉTRICO;1;Obsoleto;117%;-4335.62;
BOMBA DE IRRIGAÇÃO;1;Obsoleto;117%;-576.64;
BOMBA DE IRRIGAÇÃO;1;Obsoleto;117%;-576.64;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
CADEIRA DE EXAME GINECOLÓGICO;1;Obsoleto;117%;-433.56;
DENSITOMETRIA ÓSSEA;2;Obsoleto;146%;-177291.73;
ASPIRADOR CIRÚRGICO;3;Obsoleto;102%;-249.32;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
ASPIRADOR CIRÚRGICO;3;Obsoleto;117%;-1734.25;
BALANÇA DE BANCADA;3;Não Obsoleto;53%;274.88;
BALANÇA DE BANCADA;3;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;3;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;3;Obsoleto;117%;-260.14;
BALANÇA ANTROPOMÉTRICA;3;Obsoleto;117%;-260.14;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;7;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-3097.26;
CAMA ELÉTRICA;1;Obsoleto;153%;-18631.51;
CAMA ELÉTRICA;1;Obsoleto;153%;-18631.51;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;104%;-367.53;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-411.57;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
BALANÇA ANTROPOMÉTRICA;3;Obsoleto;117%;-260.14;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;97%;39.86;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;87%;189.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;18%;992.88;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;18%;993.21;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;18%;900.82;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
BALANÇA ANTROPOMÉTRICA;3;Não Obsoleto;18%;900.82;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-411.57;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-406.52;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-409.04;
CAMA ELÉTRICA;1;Obsoleto;109%;-3126.03;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;109%;-407.78;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-414.15;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;109%;-423.98;
CAMA ELÉTRICA;1;Obsoleto;109%;-418.00;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;153%;-5369.31;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
CAMA ELÉTRICA;1;Obsoleto;117%;-6069.86;
